,size_sq_ft,propertyType,bedrooms,latitude,longitude,localityName,suburbName,cityName,price,companyName,closest_mtero_station_km,AP_dist_km,Aiims_dist_km,NDRLW_dist_km
65,1000,Apartment,3,28.61170387,77.29042053,mayur vihar phase 1,Delhi East,Delhi,22000,Prince Associates,0.7788334036079302,21.089207145935987,9.487433951993586,7.585106339097942
66,550,Independent Floor,2,28.60411072,77.2895813,mayur vihar phase 1,Delhi East,Delhi,10300,Shivam Properties,0.07432568396122434,20.774916707057372,9.002173536077555,7.920125045683994
67,350,Independent Floor,1,28.64583778,77.29335785,Krishna Nagar,Delhi East,Delhi,6500,Arora Properties,0.5150013609813784,22.76435696746243,12.109100819170955,7.118625414180622
68,450,Independent Floor,1,28.6068325,77.28911591,mayur vihar phase 1,Delhi East,Delhi,10000,Akash Properties,0.2325050102975924,20.81213919882801,9.104552376132672,7.726176545499403
69,1000,Independent Floor,1,28.638755800000002,77.29309845,Preet Vihar,Delhi East,Delhi,15000,BK Associates,0.3608112070633767,22.405425168496322,11.536320802901564,7.086231303182927
70,640,Apartment,2,28.58876419,77.30687714,New Ashok Nagar,Delhi East,Delhi,10000,Welcome Properties,0.509885991726346,22.061430488590236,9.991756298171056,10.268865967514689
71,300,Apartment,1,28.59415627,77.30693054,New Ashok Nagar,Delhi East,Delhi,6000,Golden Properties,0.7784144983944702,22.175504272788693,10.158261403175011,9.94379769583836
72,550,Independent Floor,2,28.59229279,77.30587769,New Ashok Nagar,Delhi East,Delhi,10500,Anand Properties,0.5585689958667921,22.034919718872967,9.999896742046484,9.968626673218981
73,320,Independent Floor,1,28.59156799,77.30548859,New Ashok Nagar,Delhi East,Delhi,6700,Shree Properties,0.4774266583966118,21.98261211154994,9.940984946405957,9.981365699102742
74,900,Independent Floor,3,28.64237404,77.28275299,Swasthya Vihar,Delhi East,Delhi,16000,Dream Homez,0.7969438731223459,21.66491341557929,11.125518253460307,6.067549262638006
75,2000,Independent Floor,2,28.64569092,77.28787231,Krishna Nagar,Delhi East,Delhi,43000,Shivam Real Estate,0.8512252167798607,22.277185154731697,11.73264608440172,6.5823936285339375
76,2250,Independent Floor,3,28.64125061,77.2865448,Swasthya Vihar,Delhi East,Delhi,45000,Shivam Real Estate,0.4582786530922679,21.942722601437243,11.282019004054735,6.4380518704726795
77,1620,Independent Floor,2,28.63647652,77.29564667,Preet Vihar,Delhi East,Delhi,26000,Shivam Real Estate,0.5551717580648259,22.530105752923177,11.54759837515855,7.350776396448116
78,1750,Independent Floor,2,28.64757156,77.31343842,Anand Vihar,Delhi East,Delhi,45000,Shivam Real Estate,0.2607377137304808,24.620251310604466,13.665798427444562,9.090385622565009
79,1800,Independent Floor,3,28.65218163,77.30838776,Anand Vihar,Delhi East,Delhi,45000,Aashiyana Real Estate,0.5323582369672486,24.393221298573746,13.645097683476198,8.651419193401662
80,1000,Apartment,2,28.59837151,77.29335785,mayur vihar phase 1,Delhi East,Delhi,23000,Rupak Properties Stock,0.4758174691342236,20.977008138217748,9.068785935564565,8.575964221943009
81,700,Apartment,1,28.59680557,77.29479218,mayur vihar phase 1,Delhi East,Delhi,23000,Rupak Properties Stock,0.29057305310603804,21.07482707324715,9.134017811898296,8.789646112319957
82,1000,Apartment,2,28.60002327,77.2925415,mayur vihar phase 1,Delhi East,Delhi,23000,Rupak Properties Stock,0.6102525282058203,20.942092579586298,9.0677206553382,8.407949012623401
83,1800,Independent Floor,3,28.63601685,77.28659058,Preet Vihar,Delhi East,Delhi,35000,Aashiyana Real Estate,0.2964536612206309,21.700528122068366,10.868654001861746,6.473211751479206
84,1350,Apartment,3,28.60628319,77.29174042,mayur vihar phase 1,Delhi East,Delhi,38000,Rupak Properties Stock,0.29122242710957424,21.0424906917336,9.300951032581754,7.97924072624516
85,1000,Apartment,2,28.59800911,77.29685211,mayur vihar phase 1,Delhi East,Delhi,26000,Rupak Properties Stock,0.4813562655562675,21.30085717960559,9.370323318400636,8.882991740233797
86,1400,Apartment,3,28.59715271,77.29706573,mayur vihar phase 1,Delhi East,Delhi,30000,Rupak Properties Stock,0.4130230084099054,21.30023730775013,9.355308205354994,8.952529516748777
