id,size,propertyType,bedrooms,latitude,longitude,localityName,suburbName,cityName,price,companyName
9722136,"1,200 sq ft",Independent Floor,3,28.64507866,77.29383087,Krishna Nagar,Delhi East,Delhi,28000,Arora Properties
9962199,900 sq ft,Independent Floor,3,28.64223671,77.28492737,Swasthya Vihar,Delhi East,Delhi,15000,Dream Homez
10041386,"1,800 sq ft",Independent Floor,2,28.6303997,77.28824615,Preet Vihar,Delhi East,Delhi,40000,Shivam Real Estate
10025464,500 sq ft,Independent Floor,1,28.64478874,77.29419708,Krishna Nagar,Delhi East,Delhi,15000,Aashiyana Real Estate
10033098,"1,000 sq ft",Apartment,2,28.595541,77.29873657,Mayur Vihar,Delhi East,Delhi,20000,Rupak Properties Stock
9984822,320 sq ft,Apartment,1,28.60957527,77.29814911,Mayur Vihar,Delhi East,Delhi,9500,Shivam Properties
10076374,650 sq ft,Apartment,2,28.59089279,77.30477142,New Ashok Nagar,Delhi East,Delhi,15000,Golden Properties
9967264,"1,300 sq ft",Independent Floor,2,28.63890648,77.29301453,Preet Vihar,Delhi East,Delhi,30000,BK Associates
8818618,650 sq ft,Independent House,2,28.59737015,77.30036926,Trilokpuri,Delhi East,Delhi,12300,Prince Associates
10033000,500 sq ft,Independent Floor,1,28.59358978,77.30573273,New Ashok Nagar,Delhi East,Delhi,8000,Welcome Properties
9530792,500 sq ft,Apartment,1,28.60833931,77.29308319,Mayur Vihar,Delhi East,Delhi,17500,Akash Properties
9719344,"1,000 sq ft",Independent Floor,2,28.64037704,77.2943573,Preet Vihar,Delhi East,Delhi,12000,Arora Properties
10031402,360 sq ft,Independent Floor,1,28.59336472,77.30607605,New Ashok Nagar,Delhi East,Delhi,8000,Anand Properties
9978023,500 sq ft,Independent Floor,1,28.59229279,77.30554962,New Ashok Nagar,Delhi East,Delhi,12000,Shree Properties
9962192,550 sq ft,Apartment,1,28.64195633,77.28265381,Swasthya Vihar,Delhi East,Delhi,14000,Dream Homez
10031491,"1,650 sq ft",Independent Floor,3,28.64167976,77.28575897,Swasthya Vihar,Delhi East,Delhi,33500,Shivam Real Estate
10025835,"2,350 sq ft",Independent Floor,3,28.63573074,77.28736877,Preet Vihar,Delhi East,Delhi,35000,Aashiyana Real Estate
10028620,650 sq ft,Independent Floor,2,28.60411072,77.2895813,mayur vihar phase 1,Delhi East,Delhi,13000,Shivam Properties
9596383,"1,300 sq ft",Apartment,3,28.59948349,77.2986908,mayur vihar phase 1,Delhi East,Delhi,26000,Rupak Properties Stock
