,name,details.link,details.line,details.Layout,details.latitude,details.longitude
117,Mohan Estate,https://en.wikipedia.org/wiki/Mohan_Estate_(Delhi_Metro),Violet Line,Elevated,28.5196268,77.2936456
118,Mohan Nagar,https://en.wikipedia.org/wiki/Mohan_Nagar_metro_station,Red Line,Elevated,28.67848,77.383933
119,Moolchand,https://en.wikipedia.org/wiki/Moolchand_(Delhi_Metro),Violet Line,Elevated,28.564,77.234096
120,Moti Nagar,https://en.wikipedia.org/wiki/Moti_Nagar_(Delhi_Metro),Blue Line,Elevated,28.658131,77.142563
121,Mundka,https://en.wikipedia.org/wiki/Mundka_(Delhi_Metro),Green Line,Elevated,28.682442,77.030219
122,Mundka Industrial Area,https://en.wikipedia.org/wiki/Mundka_Industrial_Area_metro_station,Green Line,Elevated,28.683525,77.017152
123,Munirka,https://en.wikipedia.org/wiki/Munirka_metro_station,Magenta Line,Underground,28.5578421,77.1735132
124,Najafgarh,https://en.wikipedia.org/wiki/Najafgarh_metro_station,Grey Line,Underground,28.612737,76.986324
125,Nangli,https://en.wikipedia.org/wiki/Nangli_metro_station,Grey Line,Elevated,28.617172,77.010013
126,Nangloi,https://en.wikipedia.org/wiki/Nangloi_(Delhi_Metro),Green Line,Elevated,28.682356,77.064675
127,Nangloi Railway station,https://en.wikipedia.org/wiki/Nangloi_Railway_station_(Delhi_Metro),Green Line,Elevated,28.682106,77.056083
128,Naraina Vihar,https://en.wikipedia.org/wiki/Naraina_Vihar_metro_station,Pink Line,Underground,28.624125,77.136488
129,Nawada,https://en.wikipedia.org/wiki/Nawada_(Delhi_Metro),Blue Line,Elevated,28.620222,77.045089
130,Neelam Chowk Ajronda,https://en.wikipedia.org/wiki/Neelam_Chowk_Ajronda_metro_station,Violet Line,Elevated,28.3978,77.3124
131,Nehru Enclave,https://en.wikipedia.org/wiki/Nehru_Enclave_metro_station,Magenta Line,Underground,28.5457201,77.2503527
132,Nehru Place,https://en.wikipedia.org/wiki/Nehru_Place_(Delhi_Metro),Violet Line,Elevated,28.551411,77.251761
133,Netaji Subhash Place,https://en.wikipedia.org/wiki/Netaji_Subhash_Place_(Delhi_Metro),Red Line,Elevated,28.695886,77.15245
134,New Ashok Nagar,https://en.wikipedia.org/wiki/New_Ashok_Nagar_(Delhi_Metro),Blue Line,Elevated,28.58888889,77.30166667
135,New Delhi,https://en.wikipedia.org/wiki/New_Delhi_(Delhi_Metro),Yellow Line,Underground,28.642229,77.221538
